village,female,water,irrigation
GP71_village1,0,7,0
GP72_village2,1,3,0
GP72_village1,1,5,0
GP73_village2,0,13,0
GP73_village1,0,19,0
GP74_village2,0,0,0
GP74_village1,0,0,0
GP75_village2,0,4,0
GP75_village1,0,31,13
GP76_village2,0,1,0
GP76_village1,0,13,0
GP77_village2,0,7,0
GP77_village1,0,12,0
GP78_village2,1,8,0
GP78_village1,1,3,0
GP79_village2,0,0,0
GP79_village1,0,8,5
GP80_village2,1,11,0
GP80_village1,1,9,0
GP81_village2,0,0,0
GP81_village1,0,5,3
GP82_village2,0,15,3
GP82_village1,0,23,0
GP83_village2,1,0,0
GP83_village1,1,17,6
GP84_village2,0,12,1
GP84_village1,0,7,0
GP85_village2,0,0,0
GP85_village1,0,5,0
GP86_village2,0,16,0
GP86_village1,0,17,1
GP87_village2,0,5,0
GP87_village1,0,38,0
GP88_village2,0,1,1
GP88_village1,0,17,1
GP89_village2,0,11,0
GP89_village1,0,0,0
GP90_village2,1,4,0
GP90_village1,1,8,2
GP91_village2,1,4,0
GP91_village1,1,21,0
GP92_village2,0,72,0
GP92_village1,0,3,15
GP93_village2,0,11,0
GP93_village1,0,31,0
GP94_village2,0,12,1
GP94_village1,0,16,0
GP95_village2,1,15,0
GP95_village1,1,7,1
GP96_village2,0,21,0
GP96_village1,0,3,0
GP97_village2,1,12,0
GP97_village1,1,20,12
GP98_village2,1,16,0
GP98_village1,1,11,2
GP99_village2,0,17,6
GP99_village1,0,9,1
GP100_village2,1,3,5
GP100_village1,1,9,0
GP101_village2,0,27,2
GP101_village1,0,4,0
GP102_village2,1,80,1
GP102_village1,1,8,0
GP103_village2,0,4,0
GP103_village1,0,4,0
GP104_village2,0,29,0
GP104_village1,0,9,9
GP105_village2,0,17,0
GP105_village1,0,29,0
GP106_village2,0,11,1
GP106_village1,0,19,0
GP107_village2,0,3,1
GP107_village1,0,32,0
GP108_village2,0,17,0
GP108_village1,0,28,0
GP109_village2,1,7,0
GP109_village1,1,11,0
GP110_village2,0,32,0
GP110_village1,0,9,0
GP111_village2,1,24,0
GP111_village1,1,39,0
GP112_village2,0,35,0
GP112_village1,0,13,0
GP113_village2,0,54,16
GP113_village1,0,13,8
GP114_village2,1,9,14
GP114_village1,1,21,2
GP145_village1,0,5,0
GP146_village2,0,9,0
GP146_village1,0,54,0
GP147_village2,1,9,2
GP147_village1,1,0,0
GP148_village2,0,25,0
GP148_village1,0,4,2
GP149_village2,0,54,0
GP149_village1,0,3,0
GP150_village2,1,23,1
GP150_village1,1,12,0
GP151_village2,0,9,4
GP151_village1,0,56,1
GP152_village2,0,1,0
GP152_village1,0,4,1
GP153_village2,0,4,0
GP153_village1,0,88,0
GP154_village2,0,8,0
GP154_village1,0,47,30
GP155_village2,0,68,3
GP155_village1,0,17,10
GP156_village2,0,9,0
GP156_village1,0,21,0
GP157_village2,0,27,0
GP157_village1,0,28,0
GP158_village2,0,4,0
GP158_village1,0,5,8
GP159_village2,1,15,0
GP159_village1,1,39,0
GP160_village2,1,3,0
GP160_village1,1,7,5
GP161_village2,0,3,0
GP161_village1,0,15,0
