"","locality","yearmonth","isbanned","population","density","income","tavg","monthtotal_ll"
"51","Austin",2021-11-01,0,979882,3007,91501,71.8,6.24222326545517
"52","Austin",2021-12-01,0,979882,3007,91501,54.2,4.14313472639153
"53","Austin",2021-02-01,0,979882,3007,91501,54.2,5.47227067367148
"54","Austin",2021-03-01,0,979882,3007,91501,70.5,5.79909265446053
"55","Austin",2021-04-01,0,979882,3007,91501,70.5,6.93925394604151
"56","Austin",2021-05-01,0,979882,3007,91501,70.5,7.6275443904885
"57","Austin",2021-06-01,0,979882,3007,91501,86.1,7.39079852173568
"58","Austin",2021-07-01,0,979882,3007,91501,86.1,7.88306935130575
"59","Austin",2021-08-01,0,979882,3007,91501,86.1,6.01126717440416
"60","Austin",2021-09-01,0,979882,3007,91501,71.8,6.58063913728495
"61","Austin",2022-01-01,0,979882,3007,91501,54.2,7.07834157955767
"62","Austin",2022-10-01,0,979882,3007,91501,71.8,6.31535800152233
"63","Austin",2022-11-01,0,979882,3007,91501,71.8,6.4118182677099
"64","Austin",2022-12-01,0,979882,3007,91501,54.2,3.2188758248682
"65","Austin",2022-02-01,0,979882,3007,91501,54.2,6.57507584059962
"66","Austin",2022-03-01,0,979882,3007,91501,70.5,6.68586094706836
"67","Austin",2022-04-01,0,979882,3007,91501,70.5,4.77912349311153
"68","Austin",2022-05-01,0,979882,3007,91501,70.5,8.76717339668401
"69","Austin",2022-06-01,0,979882,3007,91501,86.1,9.46451736587056
"70","Austin",2022-07-01,0,979882,3007,91501,86.1,4.11087386417331
"71","Austin",2022-08-01,0,979882,3007,91501,86.1,4.17438726989564
"72","Austin",2022-09-01,0,979882,3007,91501,71.8,7.11963563801764
"73","Austin",2023-01-01,0,979882,3007,91501,54.2,8.365672383775
"74","Austin",2023-10-01,0,979882,3007,91501,71.8,7.87016594646984
"75","Austin",2023-11-01,0,979882,3007,91501,71.8,10.206735348092
"76","Austin",2023-12-01,0,979882,3007,91501,54.2,4.63472898822964
"77","Austin",2023-02-01,0,979882,3007,91501,54.2,7.96797317966293
"78","Austin",2023-03-01,0,979882,3007,91501,70.5,8.13446757027756
"79","Austin",2023-04-01,0,979882,3007,91501,70.5,7.09174211509515
"80","Austin",2023-05-01,0,979882,3007,91501,70.5,6.24416690066374
"81","Austin",2023-06-01,0,979882,3007,91501,86.1,5.19849703126583
"82","Austin",2023-07-01,0,979882,3007,91501,86.1,5.82894561761021
"83","Austin",2023-08-01,0,979882,3007,91501,86.1,7.65302041380419
"84","Austin",2023-09-01,0,979882,3007,91501,71.8,6.55535689181067
"85","Austin",2024-01-01,0,979882,3007,91501,54.2,7.44775128004791
"86","Austin",2024-10-01,0,979882,3007,91501,71.8,6.13339804299665
"87","Austin",2024-11-01,0,979882,3007,91501,71.8,5.65948221575962
"88","Austin",2024-12-01,0,979882,3007,91501,54.2,3.76120011569356
"89","Austin",2024-02-01,0,979882,3007,91501,54.2,7.63094658089046
"90","Austin",2024-03-01,0,979882,3007,91501,70.5,5.99893656194668
"91","Austin",2024-04-01,0,979882,3007,91501,70.5,8.0925452638913
"92","Austin",2024-05-01,0,979882,3007,91501,70.5,8.90408691393897
"93","Austin",2024-06-01,0,979882,3007,91501,86.1,0
"94","Austin",2024-07-01,0,979882,3007,91501,86.1,5.51342874616498
"95","Austin",2024-08-01,0,979882,3007,91501,86.1,5.77144112313002
"96","Austin",2024-09-01,0,979882,3007,91501,71.8,6.51323011091231
"97","Baltimore",2017-01-01,0,565239,7240,63988,39.2,8.8538082749772
"98","Baltimore",2017-10-01,0,565239,7240,63988,60.1,5.01727983681492
"99","Baltimore",2017-11-01,0,565239,7240,63988,60.1,3.89182029811063
"100","Baltimore",2017-12-01,0,565239,7240,63988,39.2,5.8406416573734
"101","Baltimore",2017-02-01,0,565239,7240,63988,39.2,6.7945865808765
"102","Baltimore",2017-03-01,0,565239,7240,63988,57.4,5.36129216570943
"103","Baltimore",2017-04-01,0,565239,7240,63988,57.4,0
"104","Baltimore",2017-05-01,0,565239,7240,63988,57.4,3.2188758248682
"105","Baltimore",2017-06-01,0,565239,7240,63988,77.9,1.6094379124341
"106","Baltimore",2017-07-01,0,565239,7240,63988,77.9,5.70711026474888
"107","Baltimore",2017-08-01,0,565239,7240,63988,77.9,4.52178857704904
"108","Baltimore",2017-09-01,0,565239,7240,63988,60.1,3.2188758248682
"109","Baltimore",2018-01-01,0,565239,7240,63988,39.2,8.69968140098951
"110","Baltimore",2018-10-01,0,565239,7240,63988,60.1,3.61091791264422
"111","Baltimore",2018-11-01,0,565239,7240,63988,60.1,5.74620319054015
"112","Baltimore",2018-12-01,0,565239,7240,63988,39.2,0
"113","Baltimore",2018-02-01,0,565239,7240,63988,39.2,0
"114","Baltimore",2018-03-01,0,565239,7240,63988,57.4,8.38480400337049
"115","Baltimore",2018-04-01,0,565239,7240,63988,57.4,5.74300318780948
"116","Baltimore",2018-05-01,0,565239,7240,63988,57.4,3.73766961828337
"117","Baltimore",2018-06-01,0,565239,7240,63988,77.9,8.23217423638394
"118","Baltimore",2018-07-01,0,565239,7240,63988,77.9,0
"119","Baltimore",2018-08-01,0,565239,7240,63988,77.9,4.02535169073515
"120","Baltimore",2018-09-01,0,565239,7240,63988,60.1,3.98898404656427
"121","Baltimore",2019-01-01,0,565239,7240,63988,39.2,5.30330490805908
"122","Baltimore",2019-10-01,0,565239,7240,63988,60.1,3.93182563272433
"123","Baltimore",2019-11-01,0,565239,7240,63988,60.1,0
"124","Baltimore",2019-12-01,0,565239,7240,63988,39.2,6.80350525760834
"125","Baltimore",2019-02-01,0,565239,7240,63988,39.2,5.52545293913178
"126","Baltimore",2019-03-01,0,565239,7240,63988,57.4,0
"127","Baltimore",2019-04-01,0,565239,7240,63988,57.4,4.17438726989564
"128","Baltimore",2019-05-01,0,565239,7240,63988,57.4,0
"129","Baltimore",2019-06-01,0,565239,7240,63988,77.9,5.41610040220442
"130","Baltimore",2019-07-01,0,565239,7240,63988,77.9,7.10332206252611
"131","Baltimore",2019-08-01,0,565239,7240,63988,77.9,5.30330490805908
"132","Baltimore",2019-09-01,0,565239,7240,63988,60.1,7.61332497954064
"133","Baltimore",2020-01-01,0,565239,7240,63988,39.2,0
"134","Baltimore",2020-10-01,0,565239,7240,63988,60.1,5.14166355650266
"135","Baltimore",2020-11-01,0,565239,7240,63988,60.1,4.45434729625351
"136","Baltimore",2020-12-01,0,565239,7240,63988,39.2,3.2188758248682
"137","Baltimore",2020-02-01,0,565239,7240,63988,39.2,5.89164421182577
"138","Baltimore",2020-03-01,0,565239,7240,63988,57.4,0
"139","Baltimore",2020-04-01,0,565239,7240,63988,57.4,3.04452243772342
"140","Baltimore",2020-05-01,0,565239,7240,63988,57.4,5.75257263882563
"141","Baltimore",2020-06-01,0,565239,7240,63988,77.9,8.86629956585502
"142","Baltimore",2020-07-01,0,565239,7240,63988,77.9,5.85507192220243
"143","Baltimore",2020-08-01,0,565239,7240,63988,77.9,5.72358510195238
"144","Baltimore",2020-09-01,0,565239,7240,63988,60.1,6.41017488196617
"145","Baltimore",2021-01-01,0,565239,7240,63988,39.2,5.39816270151775
"146","Baltimore",2021-10-01,0,565239,7240,63988,60.1,4.69134788222914
"147","Baltimore",2021-11-01,0,565239,7240,63988,60.1,6.8596149036542
"148","Baltimore",2021-12-01,0,565239,7240,63988,39.2,0
"149","Baltimore",2021-02-01,0,565239,7240,63988,39.2,3.71357206670431
"150","Baltimore",2021-03-01,0,565239,7240,63988,57.4,5.33271879326537
"151","Baltimore",2021-04-01,0,565239,7240,63988,57.4,5.60947179518496
"152","Baltimore",2021-05-01,0,565239,7240,63988,57.4,4.4188406077966
"153","Baltimore",2021-06-01,0,565239,7240,63988,77.9,3.68887945411394
"154","Baltimore",2021-07-01,0,565239,7240,63988,77.9,5.73979291217923
"155","Baltimore",2021-08-01,0,565239,7240,63988,77.9,4.84418708645859
"156","Baltimore",2021-09-01,0,565239,7240,63988,60.1,5.52146091786225
"157","Baltimore",2022-01-01,0,565239,7240,63988,39.2,0
"158","Baltimore",2022-10-01,0,565239,7240,63988,60.1,5.75257263882563
"159","Baltimore",2022-11-01,0,565239,7240,63988,60.1,4.94875989037817
"160","Baltimore",2022-12-01,0,565239,7240,63988,39.2,4.88280192258637
"161","Baltimore",2022-02-01,0,565239,7240,63988,39.2,3.91202300542815
"162","Baltimore",2022-03-01,0,565239,7240,63988,57.4,5.64544689764324
"163","Baltimore",2022-04-01,0,565239,7240,63988,57.4,4.4188406077966
"164","Baltimore",2022-05-01,0,565239,7240,63988,57.4,5.60947179518496
"165","Baltimore",2022-06-01,0,565239,7240,63988,77.9,5.57594910314632
"166","Baltimore",2022-07-01,0,565239,7240,63988,77.9,4.06044301054642
"167","Baltimore",2022-08-01,0,565239,7240,63988,77.9,4.17438726989564
"168","Baltimore",2022-09-01,0,565239,7240,63988,60.1,4.48863636973214
"169","Baltimore",2023-01-01,0,565239,7240,63988,39.2,5.18178355029209
"170","Baltimore",2023-10-01,0,565239,7240,63988,60.1,7.29369772060144
"171","Baltimore",2023-11-01,0,565239,7240,63988,60.1,6.05678401322862
"172","Baltimore",2023-12-01,0,565239,7240,63988,39.2,6.35437004079735
"173","Baltimore",2023-02-01,0,565239,7240,63988,39.2,4.52178857704904
"174","Baltimore",2023-03-01,0,565239,7240,63988,57.4,3.40119738166216
"175","Baltimore",2023-04-01,0,565239,7240,63988,57.4,4.11087386417331
"176","Baltimore",2023-05-01,0,565239,7240,63988,57.4,4.43081679884331
"177","Baltimore",2023-06-01,0,565239,7240,63988,77.9,7.62997570702779
"178","Baltimore",2023-07-01,0,565239,7240,63988,77.9,0
"179","Baltimore",2023-08-01,0,565239,7240,63988,77.9,3.71357206670431
"180","Baltimore",2023-09-01,0,565239,7240,63988,60.1,0
"181","Baltimore",2024-01-01,0,565239,7240,63988,39.2,5.04342511691925
"182","Baltimore",2024-10-01,0,565239,7240,63988,60.1,7.4713630881871
"183","Baltimore",2024-11-01,0,565239,7240,63988,60.1,5.31811999384422
"184","Baltimore",2024-12-01,0,565239,7240,63988,39.2,4.00733318523247
"185","Baltimore",2024-02-01,0,565239,7240,63988,39.2,5.49306144334055
"186","Baltimore",2024-03-01,0,565239,7240,63988,57.4,6.24027584517077
"187","Baltimore",2024-04-01,0,565239,7240,63988,57.4,6.93537044601511
"188","Baltimore",2024-05-01,0,565239,7240,63988,57.4,6.16541785423142
"189","Baltimore",2024-06-01,0,565239,7240,63988,77.9,11.9205083290494
"190","Baltimore",2024-07-01,0,565239,7240,63988,77.9,3.95124371858143
"191","Baltimore",2024-08-01,0,565239,7240,63988,77.9,2.56494935746154
"192","Baltimore",2024-09-01,0,565239,7240,63988,60.1,3.8286413964891
"193","Boston",2017-01-01,0,653833,13989,76298,33.2,12.1930178006564
"194","Boston",2017-10-01,0,653833,13989,76298,55.8,6.69084227741856
"195","Boston",2017-11-01,0,653833,13989,76298,55.8,8.70499967844076
"196","Boston",2017-12-01,0,653833,13989,76298,33.2,7.66809370908241
"197","Boston",2017-02-01,0,653833,13989,76298,33.2,8.69533937679971
"198","Boston",2017-03-01,0,653833,13989,76298,49,6.93828448401696
"199","Boston",2017-04-01,0,653833,13989,76298,49,8.22871079879369
"200","Boston",2017-05-01,0,653833,13989,76298,49,8.38958706681109
"201","Boston",2017-06-01,0,653833,13989,76298,72.1,5.88332238848828
"202","Boston",2017-07-01,0,653833,13989,76298,72.1,5.00394630594546
"203","Boston",2017-08-01,0,653833,13989,76298,72.1,10.7268293147539
"204","Boston",2017-09-01,0,653833,13989,76298,55.8,8.53719187792293
"205","Boston",2018-01-01,0,653833,13989,76298,33.2,6.41836493593621
"206","Boston",2018-10-01,0,653833,13989,76298,55.8,7.68753876620163
"207","Boston",2018-11-01,0,653833,13989,76298,55.8,7.87891291229713
"208","Boston",2018-12-01,0,653833,13989,76298,33.2,3.2188758248682
"209","Boston",2018-02-01,0,653833,13989,76298,33.2,5.92692602597041
"210","Boston",2018-03-01,0,653833,13989,76298,49,11.2386201895601
"211","Boston",2018-04-01,0,653833,13989,76298,49,6.23832462503951
"212","Boston",2018-05-01,0,653833,13989,76298,49,6.98749024700099
"213","Boston",2018-06-01,0,653833,13989,76298,72.1,10.3484297511865
"214","Boston",2018-07-01,0,653833,13989,76298,72.1,7.32712329225929
"215","Boston",2018-08-01,0,653833,13989,76298,72.1,6.43294009273918
"216","Boston",2018-09-01,0,653833,13989,76298,55.8,6.44571981938558
"217","Boston",2019-01-01,0,653833,13989,76298,33.2,9.21283725217477
"218","Boston",2019-10-01,0,653833,13989,76298,55.8,6.31354804627709
"219","Boston",2019-11-01,0,653833,13989,76298,55.8,6.4118182677099
"220","Boston",2019-12-01,0,653833,13989,76298,33.2,7.50988306115491
"221","Boston",2019-02-01,0,653833,13989,76298,33.2,5.59842195899838
"222","Boston",2019-03-01,0,653833,13989,76298,49,5.94542060860658
"223","Boston",2019-04-01,0,653833,13989,76298,49,5.54517744447956
"224","Boston",2019-05-01,0,653833,13989,76298,49,6.04025471127741
"225","Boston",2019-06-01,0,653833,13989,76298,72.1,9.9085248440534
"226","Boston",2019-07-01,0,653833,13989,76298,72.1,7.24064969425547
"227","Boston",2019-08-01,0,653833,13989,76298,72.1,8.14960173573616
"228","Boston",2019-09-01,0,653833,13989,76298,55.8,8.79497643168877
"229","Boston",2020-01-01,0,653833,13989,76298,33.2,6.25382881157547
"230","Boston",2020-10-01,0,653833,13989,76298,55.8,7.84345640437612
"231","Boston",2020-11-01,0,653833,13989,76298,55.8,7.40000951716269
"232","Boston",2020-12-01,0,653833,13989,76298,33.2,4.48863636973214
"233","Boston",2020-02-01,0,653833,13989,76298,33.2,4.61512051684126
"234","Boston",2020-03-01,0,653833,13989,76298,49,4.61512051684126
"235","Boston",2020-04-01,0,653833,13989,76298,49,0
"236","Boston",2020-05-01,0,653833,13989,76298,49,7.92117272158701
"237","Boston",2020-06-01,0,653833,13989,76298,72.1,9.94606800007125
"238","Boston",2020-07-01,0,653833,13989,76298,72.1,7.77275271646874
"239","Boston",2020-08-01,0,653833,13989,76298,72.1,5.68017260901707
"240","Boston",2020-09-01,0,653833,13989,76298,55.8,7.84658997529119
"241","Boston",2021-01-01,0,653833,13989,76298,33.2,6.52356230614951
"242","Boston",2021-10-01,0,653833,13989,76298,55.8,6.75227037614174
"243","Boston",2021-11-01,0,653833,13989,76298,55.8,5.91079664404053
"244","Boston",2021-12-01,0,653833,13989,76298,33.2,4.04305126783455
"245","Boston",2021-02-01,0,653833,13989,76298,33.2,6.75460409948796
"246","Boston",2021-03-01,0,653833,13989,76298,49,7.21670948670946
"247","Boston",2021-04-01,0,653833,13989,76298,49,7.08506429395255
"248","Boston",2021-05-01,0,653833,13989,76298,49,7.42714413340862
"249","Boston",2021-06-01,0,653833,13989,76298,72.1,7.09506437728713
"250","Boston",2021-07-01,0,653833,13989,76298,72.1,5.09375020080676
"251","Boston",2021-08-01,0,653833,13989,76298,72.1,5.57972982598622
"252","Boston",2021-09-01,0,653833,13989,76298,55.8,7.67275789664251
"253","Boston",2022-01-01,0,653833,13989,76298,33.2,7.00669522683704
"254","Boston",2022-10-01,0,653833,13989,76298,55.8,7.5923661285198
"255","Boston",2022-11-01,0,653833,13989,76298,55.8,5.91079664404053
"256","Boston",2022-12-01,0,653833,13989,76298,33.2,6.14846829591765
"257","Boston",2022-02-01,0,653833,13989,76298,33.2,8.15593633797239
"258","Boston",2022-03-01,0,653833,13989,76298,49,7.86672228513673
"259","Boston",2022-04-01,0,653833,13989,76298,49,6.48004456192665
"260","Boston",2022-05-01,0,653833,13989,76298,49,8.9497545251861
"261","Boston",2022-06-01,0,653833,13989,76298,72.1,8.50471566990512
"262","Boston",2022-07-01,0,653833,13989,76298,72.1,6.23441072571837
"263","Boston",2022-08-01,0,653833,13989,76298,72.1,5.85793315448346
"264","Boston",2022-09-01,0,653833,13989,76298,55.8,6.87935580446044
"265","Boston",2023-01-01,0,653833,13989,76298,33.2,6.57088296233958
"266","Boston",2023-10-01,0,653833,13989,76298,55.8,9.48425308034196
"267","Boston",2023-11-01,0,653833,13989,76298,55.8,9.17740387172992
"268","Boston",2023-12-01,0,653833,13989,76298,33.2,8.0258433441509
"269","Boston",2023-02-01,0,653833,13989,76298,33.2,6.86901445066571
"270","Boston",2023-03-01,0,653833,13989,76298,49,7.71690613529839
"271","Boston",2023-04-01,0,653833,13989,76298,49,7.19593722647557
"272","Boston",2023-05-01,0,653833,13989,76298,49,7.90100705199242
"273","Boston",2023-06-01,0,653833,13989,76298,72.1,13.8184233117752
"274","Boston",2023-07-01,0,653833,13989,76298,72.1,7.74716496652033
"275","Boston",2023-08-01,0,653833,13989,76298,72.1,6.28785856016178
"276","Boston",2023-09-01,0,653833,13989,76298,55.8,7.0833878476253
"277","Boston",2024-01-01,0,653833,13989,76298,33.2,5.4380793089232
"278","Boston",2024-10-01,0,653833,13989,76298,55.8,8.18311807939475
"279","Boston",2024-11-01,0,653833,13989,76298,55.8,7.52185925220163
"280","Boston",2024-12-01,0,653833,13989,76298,33.2,6.54965074223381
"281","Boston",2024-02-01,0,653833,13989,76298,33.2,7.23128700432762
"282","Boston",2024-03-01,0,653833,13989,76298,49,7.98786409608569
"283","Boston",2024-04-01,0,653833,13989,76298,49,7.89803969076462
"284","Boston",2024-05-01,0,653833,13989,76298,49,6.94408720822953
"285","Boston",2024-06-01,0,653833,13989,76298,72.1,11.5685493687182
"286","Boston",2024-07-01,0,653833,13989,76298,72.1,6.18826412308259
"287","Boston",2024-08-01,0,653833,13989,76298,72.1,7.51479976048867
"288","Boston",2024-09-01,0,653833,13989,76298,55.8,6.96790920180188
"289","Charlotte",2017-01-01,0,911311,2837,68367,44.8,10.1435275515101
"290","Charlotte",2017-10-01,0,911311,2837,68367,62.4,0
"291","Charlotte",2017-11-01,0,911311,2837,68367,62.4,3.3322045101752
"292","Charlotte",2017-12-01,0,911311,2837,68367,44.8,7.09837563859079
"293","Charlotte",2017-02-01,0,911311,2837,68367,44.8,9.0055277773467
"294","Charlotte",2017-03-01,0,911311,2837,68367,61.5,0.693147180559945
"295","Charlotte",2017-04-01,0,911311,2837,68367,61.5,7.09090982207998
"296","Charlotte",2017-05-01,0,911311,2837,68367,61.5,5.52545293913178
"297","Charlotte",2017-06-01,0,911311,2837,68367,79.1,6.95844839329766
"298","Charlotte",2017-07-01,0,911311,2837,68367,79.1,4.31748811353631
"299","Charlotte",2017-08-01,0,911311,2837,68367,79.1,5.39816270151775
"300","Charlotte",2017-09-01,0,911311,2837,68367,62.4,3.66356164612965
"301","Charlotte",2018-01-01,0,911311,2837,68367,44.8,8.52397017569526
"302","Charlotte",2018-10-01,0,911311,2837,68367,62.4,9.1085291058295
"303","Charlotte",2018-11-01,0,911311,2837,68367,62.4,0
"304","Charlotte",2018-12-01,0,911311,2837,68367,44.8,0
"305","Charlotte",2018-02-01,0,911311,2837,68367,44.8,0
"306","Charlotte",2018-03-01,0,911311,2837,68367,61.5,8.98469369044386
"307","Charlotte",2018-04-01,0,911311,2837,68367,61.5,4.68213122712422
"308","Charlotte",2018-05-01,0,911311,2837,68367,61.5,5.37989735354046
"309","Charlotte",2018-06-01,0,911311,2837,68367,79.1,5.30330490805908
"310","Charlotte",2018-07-01,0,911311,2837,68367,79.1,0
"311","Charlotte",2018-08-01,0,911311,2837,68367,79.1,3.36729582998647
"312","Charlotte",2018-09-01,0,911311,2837,68367,62.4,0
"313","Charlotte",2019-01-01,0,911311,2837,68367,44.8,7.60140233458373
"314","Charlotte",2019-10-01,0,911311,2837,68367,62.4,0
"315","Charlotte",2019-11-01,0,911311,2837,68367,62.4,7.09090982207998
"316","Charlotte",2019-12-01,0,911311,2837,68367,44.8,0
"317","Charlotte",2019-02-01,0,911311,2837,68367,44.8,5.70711026474888
"318","Charlotte",2019-03-01,0,911311,2837,68367,61.5,4.61512051684126
"319","Charlotte",2019-04-01,0,911311,2837,68367,61.5,0
"320","Charlotte",2019-05-01,0,911311,2837,68367,61.5,3.61091791264422
"321","Charlotte",2019-06-01,0,911311,2837,68367,79.1,0
"322","Charlotte",2019-07-01,0,911311,2837,68367,79.1,3.85014760171006
"323","Charlotte",2019-08-01,0,911311,2837,68367,79.1,0
"324","Charlotte",2019-09-01,0,911311,2837,68367,62.4,5.86078622346587
"325","Charlotte",2020-01-01,0,911311,2837,68367,44.8,7.61381868480863
"326","Charlotte",2020-10-01,0,911311,2837,68367,62.4,5.23110861685459
"327","Charlotte",2020-11-01,0,911311,2837,68367,62.4,5.64190707093811
"328","Charlotte",2020-12-01,0,911311,2837,68367,44.8,0
"329","Charlotte",2020-02-01,0,911311,2837,68367,44.8,0
"330","Charlotte",2020-03-01,0,911311,2837,68367,61.5,7.60140233458373
"331","Charlotte",2020-04-01,0,911311,2837,68367,61.5,3.93182563272433
"332","Charlotte",2020-05-01,0,911311,2837,68367,61.5,6.55250788703459
"333","Charlotte",2020-06-01,0,911311,2837,68367,79.1,7.31388683163346
"334","Charlotte",2020-07-01,0,911311,2837,68367,79.1,3.2188758248682
"335","Charlotte",2020-08-01,0,911311,2837,68367,79.1,5.68017260901707
"336","Charlotte",2020-09-01,0,911311,2837,68367,62.4,5.85220247977447
"337","Charlotte",2021-01-01,0,911311,2837,68367,44.8,0
"338","Charlotte",2021-10-01,0,911311,2837,68367,62.4,6.07304453410041
"339","Charlotte",2021-11-01,0,911311,2837,68367,62.4,5.45958551414416
"340","Charlotte",2021-12-01,0,911311,2837,68367,44.8,0
"341","Charlotte",2021-02-01,0,911311,2837,68367,44.8,2.83321334405622
"342","Charlotte",2021-03-01,0,911311,2837,68367,61.5,6.02102334934953
"343","Charlotte",2021-04-01,0,911311,2837,68367,61.5,4.87519732320115
"344","Charlotte",2021-05-01,0,911311,2837,68367,61.5,5.85793315448346
"345","Charlotte",2021-06-01,0,911311,2837,68367,79.1,4.79579054559674
"346","Charlotte",2021-07-01,0,911311,2837,68367,79.1,3.55534806148941
"347","Charlotte",2021-08-01,0,911311,2837,68367,79.1,7.02197642307216
"348","Charlotte",2021-09-01,0,911311,2837,68367,62.4,3.04452243772342
"349","Charlotte",2022-01-01,0,911311,2837,68367,44.8,0
"350","Charlotte",2022-10-01,0,911311,2837,68367,62.4,5.35185813347607
"351","Charlotte",2022-11-01,0,911311,2837,68367,62.4,5.14749447681345
"352","Charlotte",2022-12-01,0,911311,2837,68367,44.8,4.11087386417331
"353","Charlotte",2022-02-01,0,911311,2837,68367,44.8,5.50533153593236
"354","Charlotte",2022-03-01,0,911311,2837,68367,61.5,3.71357206670431
"355","Charlotte",2022-04-01,0,911311,2837,68367,61.5,5.56452040732269
"356","Charlotte",2022-05-01,0,911311,2837,68367,61.5,7.09090982207998
"357","Charlotte",2022-06-01,0,911311,2837,68367,79.1,6.33505425149806
"358","Charlotte",2022-07-01,0,911311,2837,68367,79.1,5.62040086571715
"359","Charlotte",2022-08-01,0,911311,2837,68367,79.1,0
"360","Charlotte",2022-09-01,0,911311,2837,68367,62.4,4.69134788222914
"361","Charlotte",2023-01-01,0,911311,2837,68367,44.8,7.72577144158795
"362","Charlotte",2023-10-01,0,911311,2837,68367,62.4,0
"363","Charlotte",2023-11-01,0,911311,2837,68367,62.4,3.58351893845611
"364","Charlotte",2023-12-01,0,911311,2837,68367,44.8,0
"365","Charlotte",2023-02-01,0,911311,2837,68367,44.8,4.54329478227
"366","Charlotte",2023-03-01,0,911311,2837,68367,61.5,3.66356164612965
"367","Charlotte",2023-04-01,0,911311,2837,68367,61.5,5.87493073085203
"368","Charlotte",2023-05-01,0,911311,2837,68367,61.5,6.59714570188665
"369","Charlotte",2023-06-01,0,911311,2837,68367,79.1,3.73766961828337
"370","Charlotte",2023-07-01,0,911311,2837,68367,79.1,1.09861228866811
"371","Charlotte",2023-08-01,0,911311,2837,68367,79.1,12.4685061383706
"372","Charlotte",2023-09-01,0,911311,2837,68367,62.4,5.62762111369064
"373","Charlotte",2024-01-01,0,911311,2837,68367,44.8,0
"374","Charlotte",2024-10-01,0,911311,2837,68367,62.4,7.65775527113487
